label,translation,comment
"Import a dataset from an environment","環境からデータセットインポートすん"
"Select a data.frame:","data.frame選択さびーん。"
"List of data.frame...","data.frameぬ一覧..."
"Select an environment in which to search:","検索する環境選択しくぃみそーれー："
"Select environment","環境選択"
"No data selected!","データぬ選択さりやびらん！"
"Use a data.frame from your environment or from the environment of a package.","環境あらんでぃパッケージぬ環境から data.frame 使用さびーん。"
"No data.frame here...","くまんかい data.frame ーあいびらん..."
"Ooops","うぅてぃとぅ"
"Something went wrong...","ぬーががまーくいかんたん..."
"Data successfully imported!","データぬ正常にインポートさりやびたん！"
"Data ready to be imported!","データインポートするしこーいぬなやびたん！"
"data has %s obs. of %s variables.","データんかえー %s obs があいびーん。 %s 変数ぬ。"
"click to see data","クリックしデータ表示"
"Import data","データぬインポート"
"Import a file","ファイルインポート"
"Upload a file:","ファイルアップロード："
"Browse...","ブラウズ..."
"No file selected","ファイルぬ選択さりやびらん"
"Number of rows to skip before reading data:","データ読み取いるめーにスキップする行数："
"Decimal separator:","小数点記号："
"Encoding:","エンコーディング："
"Select sheet to import:","インポートしーんシート選択："
"No file selected:","ファイルぬ選択さりやびらん："
"You can import %s files","%sファイルインポートなやびーん"
"First five rows are shown below:","最初ぬ5行以下に示さびーん："
"Copy & paste data","データコピー＆ペースト"
"Paste data here:","くまんかいデータ貼い付き："
"Nothing pasted yet!","なーらぬーん貼いちきららりやびらん！"
"Please copy and paste some data in the dialog box above.","うぃーぬダイアログボックスんかいデータコピーし貼いちきてぃくぃみそーれー。"
"Import Google Spreadsheet","Googleスプレッドシートぬインポート"
"You can either use:","次ぬいじりが使用なやびーん："
"A shareable link, in that case first sheet will be read","共有可能なリンク。くぬばー、最初ぬシートぬ読み込まりやびーん"
"The URL that appear in your browser, in that case the current sheet will be read","ブラウザんかい表示さりーるURL。くぬばー、現在ぬシートぬ読み取らりやびーん。"
"Enter a shareable link to a GoogleSheet:","Googleスプレッドシートんかいぬ共有可能なリンク入力しくぃみそーれー："
"Please paste a valid GoogleSheet link in the dialog box above.","うぃーぬダイアログボックスんかい有効なGoogleシートぬリンク貼いちきてぃくぃみそーれー。"
"Help","ヘルプ"
