label,translation,comment
"Import a dataset from an environment","从环境中导入数据集"
"Select a data.frame:","选择一个数据框："
"List of data.frame...","data.frame 列表..."
"Select an environment in which to search:","选择要搜索的环境："
"Select environment","选择环境"
"No data selected!","未选择数据！"
"Use a data.frame from your environment or from the environment of a package.","使用来自您的环境或包环境的 data.frame。"
"No data.frame here...","这里没有data.frame..."
"Ooops","哎呀"
"Something went wrong...","出问题了..."
"Data successfully imported!","数据导入成功！"
"Data ready to be imported!","数据准备好导入！"
"data has %s obs. of %s variables.","数据有 %s obs。 %s 个变量。"
"click to see data","点击查看数据"
"Import data","导入数据"
"Import a file","导入文件"
"Upload a file:","上传一个文件："
"Browse...","浏览..."
"No file selected","未选择文件"
"Number of rows to skip before reading data:","读取数据前要跳过的行数："
"Decimal separator:","小数分隔符："
"Encoding:","编码："
"Select sheet to import:","选择要导入的工作表："
"No file selected:","未选择文件："
"You can import %s files","您可以导入 %s 个文件"
"First five rows are shown below:","前五行如下所示："
"Copy & paste data","复制和粘贴数据"
"Paste data here:","在此处粘贴数据："
"Nothing pasted yet!","还没有粘贴任何东西！"
"Please copy and paste some data in the dialog box above.","请在上面的对话框中复制并粘贴一些数据。"
"Import Google Spreadsheet","导入谷歌电子表格"
"You can either use:","您可以使用："
"A shareable link, in that case first sheet will be read","一个可共享的链接，在这种情况下，第一张纸将被阅读"
"The URL that appear in your browser, in that case the current sheet will be read","出现在浏览器中的 URL，在这种情况下，将读取当前工作表"
"Enter a shareable link to a GoogleSheet:","输入指向 Google 表格的可共享链接："
"Please paste a valid GoogleSheet link in the dialog box above.","请在上面的对话框中粘贴有效的 GoogleSheet 链接。"
"Help","帮助"
"Environment","环境"
"External file","外部文件"
"Copy / Paste","复制粘贴"
"Googlesheets","谷歌表格"
"How to import data?","如何导入数据？"
"Import","进口"
"View","看法"
"Update","更新"
"Validate","验证"
"Update & select variables","更新和选择变量"
"Date format:","日期格式："
"Date to use as origin to convert date/datetime:","用作转换日期/日期时间的原点的日期："
"Select, rename and convert variables in table above, then apply changes by clicking button below.","选择、重命名和转换上表中的变量，然后单击下面的按钮应用更改。"
"Apply changes","应用更改"
"Data has %s observations and %s variables.","数据有 %s 个观察值和 %s 个变量。"
"Data successfully updated!","数据更新成功！"
"Validation:","验证："
"OK","好的"
"Failed","失败的"
"Error","错误"
"Number of rows:","行数："
"No data to display.","没有数据显示。"
"Close","关"
"Add a label to data","为数据添加标签"
"Import Url","导入网址"
"Enter URL to data:","输入数据的URL："
"Please paste a valid link in the dialog box above.","请在上面的对话框中粘贴一个有效的链接。"
"You can import from flat table format supported by","您可以从支持的平面表格式导入"
"Display settings","显示设置"
"Close Window","关闭窗口"
"Show data","显示数据"
"More options","更多选择"
"Title:","标题："
"Title","标题"
"Font face:","字体："
"Font size:","字体大小："
"Left","剩下"
"Center","中心"
"Right","正确的"
"Align:","对齐："
"Subtitle:","字幕："
"Subtitle","字幕"
"Caption:","标题："
"Caption","标题"
"X label:","X 标签："
"X label","X 标签"
"Y label:","Y 标签："
"Y label","Y 标签"
"Fill label:","填写标签："
"Fill label","填写标签"
"Color label:","颜色标签："
"Color label","颜色标签"
"Size label:","尺码标签："
"Size label","尺码标签"
"Shape label:","形状标签："
"Shape label","形状标签"
"Labels & Title","标签和标题"
"Add a smooth line:","添加平滑线："
"Yes","是的"
"No","不"
"Smooth line span:","平滑线跨度："
"Jittered points:","抖动点："
"Size for points/lines:","点/线的大小："
"Facet scales:","刻面尺度："
"Facet ncol:","刻面ncol："
"Facet nrow:","刻面窄："
"Numbers of bins:","垃圾箱数量："
"Scale:","规模："
"X-Axis limits (empty for none):","X 轴限制（无为空）："
"X-Axis transform:","X 轴变换："
"Y-Axis limits (empty for none):","Y 轴限制（无为空）："
"Y-Axis transform:","Y 轴变换："
"Bandwidth adjustment:","带宽调整："
"Position:","位置："
"Flip coordinate:","翻转坐标："
"Plot options","绘图选项"
"Color:","颜色："
"Ribbon color:","色带颜色："
"Point symbol:","点符号："
"Theme:","主题："
"Legend position:","图例位置："
"Appearance","外貌"
"Copy to clipboard","复制到剪贴板"
"Code:","代码："
"Code","代码"
"Imported data","导入数据"
"Import data", "导入数据"
"Export chart","导出图表"
"Filename:","文件名："
"Filename","文件名"
"Width:","宽度："
"Height:","高度："
"Update Preview","更新预览"
"Export format:","导出格式："
"Use a color palette:","使用调色板："
"Reverse the order of colors?","颠倒颜色顺序？"
"Use specific colors:","使用特定顏色："
