label,translation,comment
"Import a dataset from an environment","從環境中導入數據集"
"Select a data.frame:","選擇一個數據框："
"List of data.frame...","data.frame 列表..."
"Select an environment in which to search:","選擇搜索環境："
"Select environment","選擇環境"
"No data selected!","未選擇數據！"
"Use a data.frame from your environment or from the environment of a package.","使用來自您的環境或包環境的 data.frame。"
"No data.frame here...","這裡沒有data.frame..."
"Ooops","哎呀"
"Something went wrong...","出問題了..."
"Data successfully imported!","數據導入成功！"
"Data ready to be imported!","數據準備好導入！"
"data has %s obs. of %s variables.","數據有 %s obs。 %s 個變量。"
"click to see data","點擊查看數據"
"Import data","導入數據"
"Import a file","導入文件"
"Upload a file:","上傳一個文件："
"Browse...","瀏覽..."
"No file selected","未選擇文件"
"Number of rows to skip before reading data:","讀取數據前要跳過的行數："
"Decimal separator:","小數分隔符："
"Encoding:","編碼："
"Select sheet to import:","選擇要導入的工作表："
"No file selected:","未選擇文件："
"You can import %s files","您可以導入 %s 個文件"
"First five rows are shown below:","前五行如下所示："
"Copy & paste data","複製和粘貼數據"
"Paste data here:","在此處粘貼數據："
"Nothing pasted yet!","還沒有粘貼任何東西！"
"Please copy and paste some data in the dialog box above.","請在上面的對話框中復制並粘貼一些數據。"
"Import Google Spreadsheet","導入谷歌電子表格"
"You can either use:","您可以使用："
"A shareable link, in that case first sheet will be read","一個可共享的鏈接，在這種情況下，第一張紙將被閱讀"
"The URL that appear in your browser, in that case the current sheet will be read","出現在瀏覽器中的 URL，在這種情況下，將讀取當前工作表"
"Enter a shareable link to a GoogleSheet:","輸入指向 Google 表格的可共享鏈接："
"Please paste a valid GoogleSheet link in the dialog box above.","請在上面的對話框中粘貼有效的 GoogleSheet 鏈接。"
"Help","幫助"
"Environment","環境"
"External file","外部文件"
"Copy / Paste","複製粘貼"
"Googlesheets","谷歌表格"
"How to import data?","How to import data?"
"Import","Import"
"View","View"
"Update","Update"
"Validate","Validation"
"Update & select variables","Update & select variables"
"Date format:","Date format:"
"Date to use as origin to convert date/datetime:","Date to use as origin to convert date/datetime:"
"Select, rename and convert variables in table above, then apply changes by clicking button below.","Select, rename and convert variables in table above, then apply changes by clicking button below."
"Apply changes","Apply changes"
"Data has %s observations and %s variables.","Data has %s observations and %s variables."
"Data successfully updated!","Data successfully updated!"
"Validation:","Validation :"
"OK","OK"
"Failed","Failed"
"Error","Error"
"Number of rows:","Number of rows:"
"No data to display.","No data to display."
"Close","Close"
"Add a label to data","Add a label to data"
"Import Url","Import Url"
"Enter URL to data:","Enter URL to data:"
"Please paste a valid link in the dialog box above.","Please paste a valid link in the dialog box above."
"You can import from flat table format supported by","You can import from flat table format supported by"
"Display settings","Display settings"
"Close Window","Close Window"
"Show data","Show data"
"More options","More options"
"Title:","Title:"
"Title","Title"
"Font face:","Font face:"
"Font size:","Font size:"
"Left","Left"
"Center","Center"
"Right","Right"
"Align:","Align:"
"Subtitle:","Subtitle:"
"Subtitle","Subtitle"
"Caption:","Caption:"
"Caption","Caption"
"X label:","X label:"
"X label","X label"
"Y label:","Y label:"
"Y label","Y label"
"Fill label:","Fill label:"
"Fill label","Fill label"
"Color label:","Color label:"
"Color label","Color label"
"Size label:","Size label:"
"Size label","Size label"
"Shape label:","Shape label:"
"Shape label","Shape label"
"Labels & Title","Labels & Title"
"Add a smooth line:","Add a smooth line:"
"Yes","Yes"
"No","No"
"Smooth line span:","Smooth line span:"
"Jittered points:","Jittered points:"
"Size for points/lines:","Size for points/lines:"
"Facet scales:","Facet scales:"
"Facet ncol:","Facet ncol:"
"Facet nrow:","Facet nrow:"
"Numbers of bins:","Numbers of bins:"
"Scale:","Scale:"
"X-Axis limits (empty for none):","X-Axis limits (empty for none):"
"X-Axis transform:","X-Axis transform:"
"Y-Axis limits (empty for none):","Y-Axis limits (empty for none):"
"Y-Axis transform:","Y-Axis transform:"
"Bandwidth adjustment:","Bandwidth adjustment:"
"Position:","Position:"
"Flip coordinate:","Flip coordinate:"
"Plot options","Plot options"
"Color:","Color:"
"Ribbon color:","Ribbon color:"
"Point symbol:","Point symbol:"
"Theme:","Theme:"
"Legend position:","Legend position:"
"Appearance","Appearance"
"Copy to clipboard","Copy to clipboard"
"Code:","Code:"
"Code","Code"
"Imported data","Imported data"
"Import data", "Import data"
"Export chart","Export chart"
"Filename:","Filename:"
"Filename","Filename"
"Width:","Width:"
"Height:","Height:"
"Update Preview","Update Preview"
"Export format:","Export format:"
"Use a color palette:","Use a color palette:"
"Reverse the order of colors?","Reverse the order of colors?"
"Use specific colors:","Use specific colors:"
